id,date,ticker,entry_price,exit_price,sl_price,tp1,tp2,status,fees,net_profit,forecast_type,forecast_score,trend_rating,earnings_day,executed_on_nordnet,created_at
53,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:18:25
57,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:22:27
60,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:24:10
63,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:28:28
66,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:29:20
69,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:32:21
72,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:32:23
75,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:44:39
78,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:44:42
81,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:46:58
84,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:52:56
87,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:56:31
